Mariage,Mari,Femme,Date,Lieu,Source,Note
[Mariage399],[55189],[65513],,,,
[Mariage400],[65515],[65514],1920,,,
[Mariage401],[55236],[65518],1980,,,
[Mariage402],[65521],[65522],,,,
[Mariage403],[55293],[65523],1941,,,
[Mariage404],[65524],[65525],,,,
[Mariage405],[55297],[65526],1957,,,
[Mariage406],[65528],[65530],,,,
[Mariage407],[54830],[65531],1977,,,
[Mariage408],[65532],[65533],,,,
[Mariage409],[65529],[65534],1886,,,
[Mariage410],[65535],[65536],,,,
[Mariage411],[55298],[65540],1937,,,
[Mariage412],[65543],[65542],,,,
[Mariage413],[65544],[65545],,,,
[Mariage414],[65547],[65546],,,,
[Mariage415],[55299],[65549],1957,,,
[Mariage416],[55300],[65550],1957,,,
[Mariage417],[54212],[65551],1951,,,
[Mariage418],[65556],[65555],,,,
[Mariage419],[65559],[65558],,,,
[Mariage420],[55534],[65560],1924,,,
[Mariage421],[65561],[65562],,,,
[Mariage422],[65565],[65566],1838,,,
[Mariage423],[65567],[65568],,,,
[Mariage424],[55307],[65569],1935,,,
[Mariage425],[55307],[65570],1996,,,
[Mariage426],[65571],[65572],1963,,,
[Mariage427],[65574],[65575],1835,,,
[Mariage428],[65576],[65577],,,,
[Mariage429],[65578],[65579],,,,
[Mariage430],[65582],[65583],,,,
[Mariage431],[55754],[65584],1897,,,
[Mariage432],[55754],[65585],1924,,,
[Mariage433],[55311],[65587],1926,,,
[Mariage434],[65589],[65590],,,,
[Mariage435],[65592],[65593],,,,
[Mariage436],[55318],[65594],1957,,,
[Mariage437],[65595],[65596],,,,
[Mariage438],[51128],[65597],1980,,,
[Mariage439],[55322],[65598],1957,,,
[Mariage440],[55323],[65599],1957,,,
[Mariage441],[65605],[65606],,,,
[Mariage442],[65608],[65609],1858,,,
[Mariage443],[65611],[65612],,,,
[Mariage444],[65613],[65614],1852,,,
[Mariage445],[65615],[65616],,,,
[Mariage446],[60946],[65617],,,,
[Mariage447],[55332],[65619],1939,,,
[Mariage448],[65620],[65621],,,,
[Mariage449],[65623],[65624],,,,
[Mariage450],[51207],[65625],1948,,,
[Mariage451],[51207],[65626],1970,,,
[Mariage452],[55584],[65630],1937,,,
[Mariage453],[65628],[65629],,,,
[Mariage454],[65634],[65635],,,,
[Mariage455],[65636],[65637],,,,
[Mariage456],[65638],[65639],,,,
[Mariage457],[65641],[65642],,,,
[Mariage458],[55350],[65643],1957,,,
[Mariage461],[64551],[65650],,,,
[Mariage462],[64551],[65652],,,,
[Mariage463],[65654],[65655],,,,
[Mariage464],[65657],[65656],,,,
[Mariage465],[65658],[65660],,,,
[Mariage466],[55366],[65661],1957,,,
[Mariage467],[65663],[65664],,,,
[Mariage468],[65665],[65666],,,,
[Mariage469],[65668],[65669],,,,
[Mariage470],[65670],[65671],1867,,,
[Mariage471],[58716],[65672],1957,,,
[Mariage472],[61219],[65675],1910,,,
[Mariage473],[55617],[65677],1937,,,
